Role,Index,Pose Index,Structure,Protein,MW(Molecular Weight) Unit Dalton,#Atoms,SlogP,TPSA,Flexibility,#RB,LF Rank Score,LF dG,LF VSscore,LF LE,tPSA,Hacc,Hdon,logSw,Library,MW_FREE,PC1,PC2
chembridge-fragment-library-part1-exp-2024-06,14618,1,O=C1[C@@H]2CC(=CC[C@H]2C(=O)N1c3ccccc3O)C,6TBE_P,257.3,19,2.2,57.6,1.2,2,-6.428,-5.732,-6.731,-0.302,57.6,3.0,1.0,-1.73,ExpressPick,257,0.8495731644828128,0.2681364875574841
chembridge-fragment-library-part1-exp-2024-06,22160,1,FC(F)(F)c1cccc(C(=O)Nc2ccon2)c1,6TBE_P,256.2,18,2.4,55.1,0.5,3,-6.428,-5.319,-6.997,-0.295,55.1,3.0,1.0,-3.08,ExpressPick,256,0.8789500465749058,0.15635081972620998
chembridge-fragment-library-part2-cl-2024-06,4132,1,O=C(N[C@@H]1COC2(CCNCC2)C1)CCc3cscc3,6TBE_P,294.4,20,1.7,50.4,5.5,4,-6.428,-7.026,-7.528,-0.351,50.4,3.0,2.0,-1.98,1101,CORE,1.6519087387358133,0.8216294776331498
chembridge-fragment-library-part2-cl-2024-06,5614,1,s1cccc1-c2nccn2C[C@H]3CCCCCN3,6TBE_P,261.4,18,3.1,29.9,4.2,3,-6.428,-6.238,-7.345,-0.347,29.9,2.0,1.0,-2.05,1105,CORE,0.6356129325141019,-1.6672391508383821
chembridge-fragment-library-part1-exp-2024-06,1448,1,NCc1ccc2c(c1)ccs2,6TBE_P,163.2,11,2.4,26.0,2.0,2,-6.427,-6.133,-6.668,-0.558,26.0,1.0,1.0,-1.15,ExpressPick,163,-2.7258514199320376,-1.8175194006053486
chembridge-fragment-library-part1-exp-2024-06,25744,1,Brc1csc(C(=O)Nc2cccc(NC(=O)C)c2)c1,6TBE_P,339.2,19,3.8,58.2,0.8,3,-6.427,-7.202,-7.747,-0.379,58.2,2.0,2.0,-3.79,ExpressPick,339,2.3467293253584853,-0.69135810473518
chembridge-fragment-library-part2-cl-2024-06,2404,1,Clc1c(F)ccc(CNC(=O)c2cn(cn2)C)c1,6TBE_P,267.7,18,2.4,46.9,2.3,3,-6.427,-6.526,-7.379,-0.363,46.9,2.0,1.0,-3.04,1101,CORE,0.6762567410066704,-0.7178304643594003
chembridge-fragment-library-part1-exp-2024-06,280,1,OC(=O)[C@H](n1c(nc2ccccc21)C)C,6TBE_P,204.2,15,2.0,55.1,2.3,3,-6.426,-5.831,-6.414,-0.389,55.1,3.0,1.0,-2.01,ExpressPick,204,-0.5032037255048306,0.49085391609644347
chembridge-fragment-library-part2-cl-2024-06,8764,1,Clc1c(O)ccc(-c2nccn2C[C@@H](O)C)c1,6TBE_P,252.7,17,2.7,58.3,3.5,5,-6.426,-6.019,-6.794,-0.354,58.3,3.0,2.0,-1.95,1105,CORE,1.166840061361979,0.7569959034448653
chembridge-fragment-library-part1-exp-2024-06,9654,1,O=C(NOC(C)C)CN1C(Sc2ccccc21)=O,6TBE_P,266.3,18,2.2,58.6,4.0,4,-6.425,-6.737,-7.213,-0.374,60.3,3.0,1.0,-2.04,ExpressPick,266,1.1836877202767466,0.43132588688458706
chembridge-fragment-library-part1-exp-2024-06,15424,1,Brc1cc(c(OC)c(OC)c1)/C=C\2C(=O)NC(S2)=S,6TBE_P,360.2,19,3.0,47.6,1.6,3,-6.425,-7.929,-7.973,-0.417,47.6,3.0,1.0,-3.86,ExpressPick,360,2.4810084376708135,-0.6155137512902589
chembridge-fragment-library-part1-exp-2024-06,25402,1,Brc1csc(C(=O)NCc2ccncc2)c1,6TBE_P,297.2,16,2.9,42.0,2.3,3,-6.425,-5.98,-6.301,-0.374,42.0,2.0,1.0,-1.9,ExpressPick,297,0.7492237917170608,-1.1788768942285257
chembridge-fragment-library-part1-exp-2024-06,27826,1,O=C1C(=C(N([C@H](c2ccccc2)C)C1)N)c3nc(C)cs3,6TBE_P,299.4,21,2.7,59.2,2.1,3,-6.425,-6.016,-7.202,-0.286,59.2,2.0,1.0,-1.96,ExpressPick,299,1.9172180641558105,-0.5315012763394197
chembridge-fragment-library-part2-cl-2024-06,3922,1,C[C@@H](n1ccnc1-c2nccs2)c3cnccc3,6TBE_P,256.3,18,3.0,43.6,2.1,3,-6.425,-4.941,-5.546,-0.275,43.6,3.0,0.0,-1.5,1105,CORE,0.9662501762758765,-1.0522576859944306
